group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.3688946015424165,0.40847457627118644,0.3686708860759494,0.4310344827586207,0.44816753926701575,0.5201716738197424,0.8161849710982658,0.9010989010989011,0.9598965071151357,0.9574193548387095,0.9506493506493506,0.8379351740696278
obj_rel_across,0.4162889165628892,0.5316744801057819,0.45527392869470884,0.43869962634339893,0.5091569931252113,0.5807081662548275,0.7956763189210632,0.8795246844353242,0.9659821005883812,0.9013946660141914,0.9239510908654999,0.9360687022900763
obj_rel_no_comp_across,0.42485662467526103,0.508661439412004,0.41397569640877097,0.4219551636283258,0.49193490981050947,0.5548577655425555,0.763303937198555,0.8293714996888613,0.9031574384046627,0.8537820283332481,0.8748087390573658,0.902686567164179
obj_rel_no_comp_within,0.3011754920308735,0.332501364948132,0.35417735638594533,0.36119210726623335,0.3528466943926574,0.24134177432753726,0.5562804620639368,0.8361829400405069,0.862944414141915,0.7214049492530504,0.7769603836303198,0.8901180827781919
obj_rel_within,0.30511170199547727,0.2585850522444441,0.34006673603387033,0.3645837093727061,0.3309017538413782,0.22127144908912239,0.6450498338870432,0.881463437054741,0.9169323868264867,0.7482210362463865,0.8260336507108387,0.9304307974335471
prep,0.6166626781990359,0.5705870992661259,0.5997126768936079,0.6596397210743802,0.5900849545805598,0.690731883404025,0.8135141524640546,0.883916423712342,0.9766173563296748,0.9020672782874617,0.9404736605983329,0.964762340036563
sent_comp,0.5227683049147442,0.5230577482343166,0.6891928130866183,0.7491408934707903,0.60825267447784,0.6803185437997724,0.8813291139240506,0.9529448426301028,0.9934289127837514,0.8976377952755905,0.8503239004432323,0.8656218739579861
simple,0.6131805157593124,0.6268656716417911,0.6993865030674846,0.7808219178082193,0.7622641509433963,0.8082191780821917,0.9130434782608695,0.9591078066914498,1.0,0.9818181818181818,0.9781021897810218,1.0
subj_rel,0.3756584108483693,0.3948109412711182,0.33933806146572104,0.3222477863766297,0.35105423522242535,0.4220625837087545,0.5759212109342211,0.7608154712533286,0.9084187827311534,0.8773618002305418,0.8778117328791143,0.829915931925364
vp_coord,0.39281437125748503,0.44232881728304657,0.4677095868431609,0.517723880597015,0.5751196172248804,0.5735976381273724,0.866013071895425,0.9546865301055245,0.9904306220095694,0.97062423500612,0.9603960396039605,0.9021179164281625
