group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.24263839811542992,0.3820366856419987,0.3680203045685279,0.32348111658456485,0.47295423023578353,0.5096685082872928,0.6716839134524929,0.8937198067632851,0.9113300492610837,0.7626774847870182,0.7617148554336988,0.9088669950738917
obj_rel_across,0.4142073922509903,0.3841078463948355,0.3964220897070262,0.4504258301626754,0.4603224715300485,0.4437117686346433,0.6450831132515147,0.7918170413972788,0.9258377275046776,0.8980818601156312,0.8954615857927903,0.9159690773523627
obj_rel_no_comp_across,0.4070211272100594,0.3875027832792303,0.39324557572732755,0.4310003598416697,0.4433963270837558,0.42248759801568253,0.5709559677926481,0.7392755950984462,0.8504911910367785,0.8155170408281959,0.8343880790149417,0.8781733993293948
obj_rel_no_comp_within,0.29354623744104985,0.33616390666164847,0.33247197099153925,0.31493742114841405,0.3343229337249474,0.3826046092694484,0.4007257646448938,0.4625664388762339,0.6481990049751244,0.6544826433387196,0.6755279149645347,0.7853872429080163
obj_rel_within,0.2998643501852142,0.3405299196189342,0.346147589871496,0.30442576769957863,0.3375067804678246,0.3699508308956246,0.43048312777639824,0.5362089937004157,0.7716657348071051,0.8001494209936496,0.829444753628152,0.8883440739702998
prep,0.562029268292683,0.6215784826461997,0.6406756607145682,0.6452499841982176,0.6508211924492177,0.6242811769808733,0.6854700854700855,0.8088600272443972,0.8471794081381011,0.8647473769487641,0.9153401338444546,0.9205980746910631
sent_comp,0.531897265948633,0.5803940647044514,0.5701790920449813,0.5687724487639975,0.6017632714312512,0.6932321315623023,0.7151385927505332,0.7517921146953405,0.7998091147697448,0.7417715926662249,0.7590415913200724,0.8574401664932362
simple,0.5333333333333333,0.5906432748538011,0.6263736263736264,0.6518105849582173,0.6701298701298701,0.6879606879606879,0.8918032786885245,0.9621993127147767,0.9090909090909091,0.9210526315789475,0.9752650176678446,0.9686411149825784
subj_rel,0.3243544586067963,0.34404861077081395,0.3442190801943313,0.3562083703976915,0.3627617190811223,0.4050613956274334,0.403896075081538,0.5637919154800184,0.8441390143333988,0.8027821404532196,0.7975151492053814,0.8323219703730145
vp_coord,0.34858387799564267,0.3319444444444444,0.3251161128974634,0.32296102194562726,0.4313725490196078,0.48413417951042614,0.6966292134831461,0.9136771300448431,0.9256198347107438,0.9037116729424421,0.9561253561253562,0.9375709421112371
