group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.3071364046973803,0.398959236773634,0.3672612801678909,0.4028484231943031,0.32216494845360827,0.2837045720984759,0.33870967741935487,0.24284077892325318,0.20363636363636364,0.3065989847715736,0.16414141414141414,0.18013245033112582
obj_rel_across,0.15033646003262643,0.4108896797153024,0.4478007174418426,0.4825584060384739,0.3000720172841482,0.35973112879548785,0.3038708508625375,0.3194296742683839,0.30814934069303895,0.3696335479914137,0.33793720190779014,0.40866253128740887
obj_rel_no_comp_across,0.23896588370529423,0.3735402068735402,0.420397662127017,0.4954154104373233,0.4281010719754977,0.4260528341563245,0.35586722024672723,0.3084946595460614,0.2820228703129155,0.34232878185141385,0.3100198147057248,0.34898374946700145
obj_rel_no_comp_within,0.35842172968641256,0.382264960183579,0.33485453508271534,0.23636066402128195,0.2200719140044052,0.1824395949848302,0.2073425685312909,0.1952219538433434,0.18525402726146223,0.13833343980919524,0.09722992421241648,0.11506488001318796
obj_rel_within,0.36855036855036855,0.35888765438062575,0.349945040042255,0.2501524080471449,0.3130282607886212,0.21959746763677598,0.2534735698206939,0.22178692328173136,0.21810810810810807,0.13266473459426478,0.08010018662213929,0.10917114762527047
prep,0.43278588030957066,0.47759662258297764,0.5170840826352032,0.5399885630258965,0.5434624438262358,0.5239396304970074,0.49380207274944116,0.5317742755465176,0.5335024653722609,0.5247518545606519,0.496080374842314,0.42265738624558485
sent_comp,0.4463768115942029,0.6587970770095559,0.8053901598245065,0.7340736411455289,0.6740399385560676,0.6538201487491547,0.561717352415027,0.5616083009079117,0.5260273972602739,0.5631981187536743,0.47803030303030297,0.44864479315263905
simple,0.4,0.5819672131147541,0.7142857142857142,0.7148014440433214,0.702928870292887,0.559322033898305,0.5108225108225108,0.5299145299145299,0.5108225108225108,0.6070038910505836,0.38095238095238093,0.4588744588744589
subj_rel,0.1246096189881324,0.22915656464816453,0.38878398791540786,0.4375771755377916,0.4072230815791244,0.34386491557223264,0.30130134373277945,0.33516251582946394,0.4191170448030142,0.3472212463992131,0.35919951934186806,0.34205169957256265
vp_coord,0.23323170731707316,0.3876606683804627,0.4090032154340836,0.3407325194228635,0.4803695150115474,0.30448926480156147,0.2837060702875399,0.22060766182298544,0.15741391426563597,0.1115702479338843,0.1649782923299566,0.2230869001297017
