group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.29136316337148804,0.3429602888086643,0.3235014272121789,0.34534786253143335,0.3590225563909774,0.3758700696055684,0.47110141766630315,0.6524064171122994,0.8558951965065502,0.6674259681093394,0.6090534979423868,0.7115839243498817
obj_rel_across,0.22475066722854334,0.1673463067155319,0.15857998828670541,0.24163067887372602,0.3198341395991707,0.34213623657495956,0.5292109114104536,0.6197861899754645,0.6616450216450217,0.6335660291627081,0.5696054370398338,0.7132756535491674
obj_rel_no_comp_across,0.19169711855268673,0.14098218166014778,0.15665360615295312,0.21554844463096048,0.2788949017373967,0.22779393735426334,0.38312888590152916,0.5121836189278416,0.5804232590134747,0.5685621320111559,0.5373278032884017,0.6329796963599781
obj_rel_no_comp_within,0.07489471979267898,0.14738044254104213,0.2318331395204988,0.350971298727906,0.30327128140249415,0.3203769950467804,0.387021450851238,0.44437118839624196,0.6546175722197275,0.6114436288349332,0.616120848708487,0.6918111631439058
obj_rel_within,0.0585843844469926,0.14725254336868795,0.2396733506725956,0.32599774520856817,0.2599849455988687,0.29191428056906177,0.3526700605451155,0.5180600780626659,0.7235443622920517,0.7074882542874269,0.7019566265060241,0.8069586573884567
prep,0.14839547393804486,0.25413996837813096,0.33616926832877114,0.5904686398872445,0.5887165021156558,0.6173546994941455,0.6565633887142643,0.6726550753691353,0.6800460994317052,0.7021198978557821,0.713487426974854,0.8525719911395521
sent_comp,0.00554016620498615,0.010676156583629895,0.0,0.31282586027111575,0.46277856804172596,0.5813026140894993,0.6292035398230089,0.650137741046832,0.6679052484904784,0.6735266604303086,0.6227804244261586,0.7660723933009185
simple,0.09375000000000001,0.1038961038961039,0.3793103448275862,0.6710526315789473,0.7283950617283951,0.6703910614525139,0.6857142857142856,0.7272727272727273,0.7185628742514969,0.7843137254901961,0.8,0.923076923076923
subj_rel,0.0,0.01862425231103861,0.00043475110499239183,0.12197695893061296,0.14201183431952663,0.2601667270750272,0.311520156774916,0.5278121137206427,0.5777453193467003,0.6302147797597378,0.5695543382701022,0.7295221843003413
vp_coord,0.0,0.024390243902439022,0.0,0.08493150684931507,0.25142857142857145,0.3797235023041475,0.5572998430141288,0.8369152970922881,0.6811731315042573,0.8540925266903914,0.8723135271807838,0.8813096862210096
