group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.3342175066312998,0.2867132867132867,0.30273972602739724,0.34056761268781305,0.35955056179775274,0.4982394366197183,0.6349514563106796,0.75,0.8637951105937136,0.9284818067754078,0.9321382842509603,0.8342602892102335
obj_rel_across,0.48787345030824475,0.5411584371534799,0.4627809768066978,0.534386844357501,0.5713118722013797,0.5775171710506583,0.6758888941169089,0.8909615132584858,0.9149168432543504,0.915816381328808,0.9204091099869669,0.8910443624890746
obj_rel_no_comp_across,0.49518862167701966,0.47906321585589695,0.40728325298768747,0.48521002930641477,0.5467570867473778,0.5514240965253205,0.6627307962778223,0.806239918686612,0.8457300880100082,0.8555122187699697,0.8567022699956913,0.8498860306089222
obj_rel_no_comp_within,0.1468410816236903,0.21598041147167263,0.3280444690548196,0.25026087863925706,0.19003443271392387,0.1958984615806129,0.29520295202952024,0.6979892815408792,0.6670757363253856,0.6531525361822581,0.6408077286264254,0.692126791421278
obj_rel_within,0.13172720659143589,0.12216872919965106,0.25042623112846235,0.17317103388465585,0.13188068356543511,0.1263505530327834,0.28272086223700055,0.7875095850728465,0.6946731798092579,0.655169929146151,0.7300473432505828,0.7817274834046898
prep,0.583862935295648,0.5644700115732861,0.6000873444177559,0.5731052679465017,0.5552423640312371,0.6011587414095966,0.7414927957008637,0.824640342204556,0.9038315469659888,0.9415300077273118,0.967731864505051,0.9274418002545901
sent_comp,0.5611847233047546,0.5805925523240012,0.7231393775372125,0.7267605633802817,0.7129156010230179,0.6371854385536282,0.8686284813452443,0.963350785340314,0.9640552995391705,0.9139579349904398,0.8845208845208845,0.8087818696883853
simple,0.5669781931464175,0.6136363636363636,0.6683937823834197,0.7569060773480664,0.6984126984126985,0.6923076923076924,0.9225589225589225,0.9964412811387899,0.975609756097561,0.9929078014184397,1.0,1.0
subj_rel,0.41005615255251826,0.3900179398613008,0.36329579459533545,0.40925767396355633,0.5045333333333334,0.5314513257146557,0.729762384212646,0.8731974578128425,0.8382279325880194,0.9535237919416625,0.9304676428908834,0.8554726869582746
vp_coord,0.3635139683608212,0.37849310222851085,0.3745778323610685,0.49774571686203795,0.593069306930693,0.5660215053763441,0.8216704288939052,0.9602409638554216,0.9197080291970802,0.855994641661085,0.8211488250652742,0.8328804347826086
