group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.35719063545150503,0.3736263736263736,0.4439862542955326,0.5022421524663676,0.6098654708520179,0.6267281105990784,0.5793650793650793,0.5154494382022472,0.44613434727503165,0.4281490242460083,0.42123687281213534,0.4092366901860166
obj_rel_across,0.43926073284990047,0.47406906326504317,0.48060828740559297,0.5367981680628424,0.6193524414342899,0.6207581470509023,0.6374057955631037,0.6307741889278808,0.5345058306251195,0.5635597160658381,0.5524990192232248,0.5498078120638193
obj_rel_no_comp_across,0.4399776356520435,0.4331655672732758,0.42825575423131584,0.5043609950360378,0.5670591782382205,0.566696459515167,0.5699927468656097,0.5413966417247119,0.48106102558422864,0.5330037477075193,0.5380136197651084,0.5489455461126849
obj_rel_no_comp_within,0.2454557804646108,0.2715318249727446,0.3196955936957546,0.24134677593271514,0.08632309891755736,0.11784445321752862,0.06266673828579612,0.0994070855724156,0.19609474676873578,0.10655131380053388,0.08727969864119468,0.0622318441251722
obj_rel_within,0.23511504197910657,0.24280478186232812,0.3200803164273705,0.2353605931561032,0.09640565496374355,0.14089625272095996,0.07466758236517293,0.08667214901795789,0.2115482271410222,0.12490333170246681,0.1342903012560204,0.06604477611940297
prep,0.594634181194627,0.5820798393544429,0.6082003526061208,0.6136345707839641,0.6523665027379583,0.6859079061685491,0.6515051925857762,0.645074009231259,0.6273534096943032,0.6312024452103792,0.616112910038012,0.6149745668862737
sent_comp,0.5985013294657964,0.6366197183098591,0.5984308131241084,0.5772450532724506,0.6489256849990144,0.7124382788619797,0.6042533518261674,0.3631463702206501,0.3444634703196347,0.3306816409296522,0.3760268857356236,0.5253355245138318
simple,0.6349206349206348,0.6613756613756614,0.6829268292682926,0.6972972972972972,0.7633136094674555,0.789156626506024,0.7434210526315789,0.631578947368421,0.6600496277915633,0.6467661691542288,0.5910290237467017,0.5824175824175825
subj_rel,0.3481305550794545,0.29409996994891313,0.40105517887898146,0.44175382321714973,0.5042693402394933,0.540199459907489,0.5710380957804225,0.5104825291181364,0.4679461766283436,0.5369392782695795,0.5520675855935971,0.5641043624631785
vp_coord,0.3146959975557593,0.3467625899280576,0.34288990825688076,0.44831419044090404,0.5794183445190156,0.45631067961165056,0.323712507074137,0.3276945384243596,0.3533898305084746,0.36510791366906475,0.3530854107069881,0.35354477611940294
