group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.29064039408866993,0.3221238938053097,0.3280423280423281,0.27037773359840955,0.3057591623036649,0.23452768729641696,0.21747967479674796,0.20696937697993664,0.2805343511450382,0.32523051131601005,0.3011314186248912,0.26124197002141325
obj_rel_across,0.4044375324002074,0.390123890695018,0.4068069481711622,0.45191778989760895,0.3722533703481938,0.39583834496030784,0.2904966307762404,0.36601784451087327,0.34756588790424675,0.38781580777254115,0.3800037823866859,0.45316486953658736
obj_rel_no_comp_across,0.4263912874916294,0.3885636567914375,0.3945929485906449,0.46415966897894606,0.4649750960103305,0.4842161775232641,0.431857930848917,0.4201271067284078,0.35462139585017516,0.38130381303813043,0.35930342608366456,0.3944961036027557
obj_rel_no_comp_within,0.20659159853977066,0.31685996191795046,0.3319233192331923,0.21152249709447118,0.18104639684106613,0.07906048234807475,0.10149402581461806,0.10966535801084315,0.14244478111793318,0.10588720997440344,0.10149907487822377,0.10051309038284437
obj_rel_within,0.13826804123711342,0.2633791265122001,0.34853603603603606,0.2289959768596012,0.24409805767688392,0.09939260077305356,0.1387416455404471,0.07757445762673995,0.14859029230562537,0.09491153476889315,0.08704265722475131,0.07957624528878475
prep,0.5503616158052567,0.552334208423696,0.6023485141196432,0.5736392742796158,0.5949323776765294,0.5798743954378114,0.5473624717407687,0.5601055330533983,0.5595326685518678,0.5260868689716277,0.503056947142419,0.5305724017612362
sent_comp,0.5357142857142857,0.6222845129642607,0.7450980392156864,0.6585662211421629,0.6255530973451328,0.595939751146038,0.5655053268067952,0.5316985645933016,0.5269262634631318,0.5414201183431953,0.4386942675159236,0.5256284688214169
simple,0.5405405405405405,0.6046511627906976,0.6498599439775911,0.5960264900662252,0.5974025974025974,0.5288135593220339,0.5514950166112957,0.5106382978723404,0.570446735395189,0.5666666666666667,0.5111821086261981,0.5180327868852459
subj_rel,0.35950999355254676,0.25983031259689376,0.4166710080750196,0.4652741899771201,0.46436931079323795,0.4386660545097875,0.37560674256464566,0.419430289867179,0.43813982739946195,0.3628034455755677,0.28269643623872903,0.34368346344925477
vp_coord,0.35360785795239896,0.3543520309477756,0.3159312899966319,0.31216272312162724,0.34380916319575916,0.26153195090986037,0.26970788315326133,0.2535460992907802,0.2853414528055676,0.19876952200662565,0.21603375527426164,0.3072289156626506
