group,1,2,3,4,5,6,7,8,9,10,11,12
long_vp_coord,0.2783603431839847,0.29927594529364443,0.26543778801843315,0.37562814070351763,0.38609467455621305,0.388663967611336,0.24893314366998573,0.3352506162695152,0.35685320356853206,0.3298507462686567,0.20121951219512196,0.21517027863777088
obj_rel_across,0.42685194246012337,0.2361040801862914,0.36730688349922896,0.44436224232437704,0.47404389538704167,0.445768434192981,0.46584164292497626,0.441365275554026,0.4470937036748069,0.3962800760734912,0.4328049372942045,0.43151585526203445
obj_rel_no_comp_across,0.4559262576503956,0.35168873709229637,0.40134568848492,0.4611418695257345,0.4883478793446639,0.45611261354968446,0.45664997057852663,0.4584319775167632,0.4599410648440995,0.40861427058783345,0.4451643828823617,0.432093080370848
obj_rel_no_comp_within,0.10499350287729721,0.1947629101959469,0.2021262279639349,0.3104893552058179,0.28817741056315804,0.3879189944134078,0.25777765388046386,0.23459094878203005,0.22222562047925618,0.2276016715931098,0.1988104784816894,0.19501645809149742
obj_rel_within,0.10861132660977502,0.20148953301127215,0.23389870251680475,0.326616949989964,0.2979087423430029,0.3798925952700609,0.243331370211299,0.2617147026632616,0.2449491473579567,0.24648563395734757,0.1902022504432143,0.14700726270974207
prep,0.5210329029571011,0.5141350073018157,0.5477200316577714,0.5788724811567452,0.5527175410287695,0.530629574218592,0.523938759866581,0.48988149498632644,0.5028970269121497,0.42936309508467146,0.4667219269588961,0.41526927865638824
sent_comp,0.44510978043912175,0.5542635658914729,0.5410683515221137,0.5419776119402985,0.6446514253457523,0.659359676954139,0.5448195576251457,0.5334964821046192,0.5403422982885085,0.467741935483871,0.4317548746518106,0.3792048929663609
simple,0.538205980066445,0.5565749235474007,0.5333333333333333,0.6358381502890172,0.6766467065868265,0.67986798679868,0.5734265734265733,0.603174603174603,0.6333333333333332,0.5806451612903226,0.5627118644067797,0.552901023890785
subj_rel,0.4600032190568164,0.2973860744853112,0.39548957290260783,0.3604108898411898,0.41432313206506755,0.38489310269048443,0.3867575076068263,0.3944505866828346,0.4299928120152839,0.31740602173525745,0.3662212112595962,0.36156907333712335
vp_coord,0.34103410341034107,0.3351278600269179,0.347700108656284,0.36036036036036034,0.36607773851590103,0.41038525963149075,0.3016304347826087,0.31681034482758613,0.3027692307692308,0.26229508196721313,0.22181146025878,0.2242731887401938
